7/1/2019,6:00:00 AM,Magnifica Italia (R),
7/1/2019,6:30:00 AM,Magnifica Italia (R),
7/1/2019,7:00:00 AM,David Rocco's Dolce Vita (R),
7/1/2019,7:30:00 AM,David Rocco's Dolce Vita (R),
7/1/2019,8:00:00 AM,In The Kitchen (R),
7/1/2019,8:30:00 AM,In The Kitchen (R),
7/1/2019,9:00:00 AM,Made In Spain (R),
7/1/2019,9:30:00 AM,Pati's Mexican Table (R),
7/1/2019,10:00:00 AM,David Rocco's Dolce India,
7/1/2019,10:30:00 AM,David Rocco's Dolce Vita (R),
7/1/2019,11:00:00 AM,David Rocco's Dolce Vita (R),
7/1/2019,11:30:00 AM,In The Kitchen (R),
7/1/2019,12:00:00 PM,In The Kitchen (R),
7/1/2019,12:30:00 PM,Made In Spain (R),
7/1/2019,1:00:00 PM,MASH (R),
7/1/2019,1:30:00 PM,MASH (R),
7/1/2019,2:00:00 PM,Lidia's Italy In America (R),
7/1/2019,2:30:00 PM,Lidia's Kitchen (R),
7/1/2019,3:00:00 PM,Mexico One Plate At A Time (R),
7/1/2019,3:30:00 PM,David Rocco's Dolce Vita (R),
7/1/2019,4:00:00 PM,David Rocco's Dolce Vita (R),
7/1/2019,4:30:00 PM,Made In Spain (R),
7/1/2019,5:00:00 PM,Celebrity Taste Makers (R),
7/1/2019,5:30:00 PM,Celebrity Taste Makers (R),
7/1/2019,6:00:00 PM,Pati's Mexican Table (R),
7/1/2019,6:30:00 PM,Lidia's Kitchen (R),
7/1/2019,7:00:00 PM,MASH (R),
7/1/2019,7:30:00 PM,MASH (R),
7/1/2019,8:00:00 PM,Opening Spain,
7/1/2019,8:30:00 PM,Celebrity Taste Makers (R),
7/1/2019,9:00:00 PM,My Greek Table (R),
7/1/2019,9:30:00 PM,Michela's Tuscan Kitchen (R),
7/1/2019,10:00:00 PM,Lidia's Italy In America (R),
7/1/2019,10:30:00 PM,Lidia's Kitchen (R),
7/1/2019,11:00:00 PM,MASH (R),
7/1/2019,11:30:00 PM,MASH (R),
7/1/2019,12:00:00 XM,Top Tables Top Cities (R),
7/1/2019,12:30:00 XM,Top Tables Top Cities (R),
7/1/2019,1:00:00 XM,My Greek Table (R),
7/1/2019,1:30:00 XM,PP - Kingstar,
7/1/2019,2:00:00 XM,Bliss (R),
7/1/2019,2:30:00 XM,Bliss (R),
7/1/2019,3:00:00 XM,Bliss (R),
7/1/2019,3:30:00 XM,Bliss (R),
7/1/2019,4:00:00 XM,Bliss (R),
7/1/2019,4:30:00 XM,Bliss (R),
7/1/2019,5:00:00 XM,Salven Nuestro Hogar (R),
7/1/2019,5:30:00 XM,Al Calor de la Cocina (R),
7/2/2019,6:00:00 AM,Magnifica Italia (R),
7/2/2019,6:30:00 AM,Magnifica Italia (R),
7/2/2019,7:00:00 AM,David Rocco's Dolce Vita (R),
7/2/2019,7:30:00 AM,David Rocco's Dolce Vita (R),
7/2/2019,8:00:00 AM,In The Kitchen (R),
7/2/2019,8:30:00 AM,In The Kitchen (R),
7/2/2019,9:00:00 AM,Made In Spain (R),
7/2/2019,9:30:00 AM,Pati's Mexican Table (R),
7/2/2019,10:00:00 AM,David Rocco's Dolce India,
7/2/2019,10:30:00 AM,David Rocco's Dolce Vita (R),
7/2/2019,11:00:00 AM,David Rocco's Dolce Vita (R),
7/2/2019,11:30:00 AM,In The Kitchen (R),
7/2/2019,12:00:00 PM,In The Kitchen (R),
7/2/2019,12:30:00 PM,Made In Spain (R),
7/2/2019,1:00:00 PM,MASH (R),
7/2/2019,1:30:00 PM,MASH (R),
7/2/2019,2:00:00 PM,Lidia's Italy In America (R),
7/2/2019,2:30:00 PM,Lidia's Kitchen (R),
7/2/2019,3:00:00 PM,Mexico One Plate At A Time (R),
7/2/2019,3:30:00 PM,David Rocco's Dolce Vita (R),
7/2/2019,4:00:00 PM,David Rocco's Dolce Vita (R),
7/2/2019,4:30:00 PM,Made In Spain (R),
7/2/2019,5:00:00 PM,Celebrity Taste Makers (R),
7/2/2019,5:30:00 PM,Celebrity Taste Makers (R),
7/2/2019,6:00:00 PM,Pati's Mexican Table (R),
7/2/2019,6:30:00 PM,Lidia's Kitchen (R),
7/2/2019,7:00:00 PM,MASH (R),
7/2/2019,7:30:00 PM,MASH (R),
7/2/2019,8:00:00 PM,Alex Polizzi's Secret Spain (R),
7/2/2019,9:00:00 PM,Finding Your Roots (R),
7/2/2019,10:00:00 PM,Our Dream Hotel (R),
7/2/2019,11:00:00 PM,MASH (R),
7/2/2019,11:30:00 PM,MASH (R),
7/2/2019,12:00:00 XM,Pati's Mexican Table (R),
7/2/2019,12:30:00 XM,Pati's Mexican Table (R),
7/2/2019,1:00:00 XM,David Rocco's Dolce Africa (R),
7/2/2019,1:30:00 XM,PP - Kingstar,
7/2/2019,2:00:00 XM,Bliss (R),
7/2/2019,2:30:00 XM,Bliss (R),
7/2/2019,3:00:00 XM,Bliss (R),
7/2/2019,3:30:00 XM,Bliss (R),
7/2/2019,4:00:00 XM,Bliss (R),
7/2/2019,4:30:00 XM,Bliss (R),
7/2/2019,5:00:00 XM,Salven Nuestro Hogar (R),
7/2/2019,5:30:00 XM,Al Calor de la Cocina (R),
7/3/2019,6:00:00 AM,Magnifica Italia (R),
7/3/2019,6:30:00 AM,Magnifica Italia (R),
